human_ensembl,species,species_gene_id,source
ENSG00000153002,Mus musculus,ENSMUSG00000011463,babelgene
ENSG00000080618,Mus musculus,ENSMUSG00000021999,babelgene
ENSG00000108582,Mus musculus,ENSMUSG00000020841,babelgene
ENSG00000109472,Mus musculus,ENSMUSG00000037852,babelgene
ENSG00000214575,Mus musculus,ENSMUSG00000025586,babelgene
ENSG00000137449,Mus musculus,ENSMUSG00000039782,babelgene
ENSG00000107864,Mus musculus,ENSMUSG00000039652,babelgene
ENSG00000113742,Mus musculus,ENSMUSG00000020300,babelgene
ENSG00000106034,Mus musculus,ENSMUSG00000062980,babelgene
ENSG00000283755,Mus musculus,ENSMUSG00000095975,babelgene
ENSG00000197603,Mus musculus,ENSMUSG00000039801,babelgene
ENSG00000132881,Mus musculus,ENSMUSG00000073733,babelgene
ENSG00000168993,Mus musculus,ENSMUSG00000033615,babelgene
ENSG00000145920,Mus musculus,ENSMUSG00000025867,babelgene
ENSG00000213578,Mus musculus,ENSMUSG00000039714,babelgene
ENSG00000135678,Mus musculus,ENSMUSG00000020183,babelgene
ENSG00000120054,Mus musculus,ENSMUSG00000025196,babelgene
ENSG00000178772,Mus musculus,ENSMUSG00000023176,babelgene
ENSG00000214078,Mus musculus,ENSMUSG00000074643,babelgene
ENSG00000140848,Mus musculus,ENSMUSG00000034361,babelgene
ENSG00000085719,Mus musculus,ENSMUSG00000028228,babelgene
ENSG00000196353,Mus musculus,ENSMUSG00000032564,babelgene
ENSG00000124772,Mus musculus,ENSMUSG00000024008,babelgene
ENSG00000100884,Mus musculus,ENSMUSG00000022212,babelgene
ENSG00000178773,Mus musculus,ENSMUSG00000034796,babelgene
ENSG00000139117,Mus musculus,ENSMUSG00000052560,babelgene
ENSG00000144550,Mus musculus,ENSMUSG00000030270,babelgene
ENSG00000080819,Mus musculus,ENSMUSG00000022742,babelgene
ENSG00000103381,Mus musculus,ENSMUSG00000065979,babelgene
ENSG00000104324,Mus musculus,ENSMUSG00000039007,babelgene
ENSG00000021826,Mus musculus,ENSMUSG00000025991,babelgene
ENSG00000071894,Mus musculus,ENSMUSG00000034022,babelgene
ENSG00000165934,Mus musculus,ENSMUSG00000041781,babelgene
ENSG00000119203,Mus musculus,ENSMUSG00000054309,babelgene
ENSG00000160917,Mus musculus,ENSMUSG00000029625,babelgene
ENSG00000111605,Mus musculus,ENSMUSG00000055531,babelgene
ENSG00000149532,Mus musculus,ENSMUSG00000034820,babelgene
ENSG00000110090,Mus musculus,ENSMUSG00000024900,babelgene
ENSG00000205560,Mus musculus,ENSMUSG00000078937,babelgene
ENSG00000169169,Mus musculus,ENSMUSG00000007783,babelgene
ENSG00000157184,Mus musculus,ENSMUSG00000028607,babelgene
ENSG00000224051,Mus musculus,ENSMUSG00000029073,babelgene
ENSG00000106066,Mus musculus,ENSMUSG00000052955,babelgene
ENSG00000088882,Mus musculus,ENSMUSG00000027408,babelgene
ENSG00000121898,Mus musculus,ENSMUSG00000030862,babelgene
ENSG00000109625,Mus musculus,ENSMUSG00000036596,babelgene
ENSG00000203710,Mus musculus,ENSMUSG00000016481,babelgene
ENSG00000197721,Mus musculus,ENSMUSG00000016481,babelgene
ENSG00000117322,Mus musculus,ENSMUSG00000026616,babelgene
ENSG00000166426,Mus musculus,ENSMUSG00000032291,babelgene
ENSG00000143320,Mus musculus,ENSMUSG00000004885,babelgene
ENSG00000109265,Mus musculus,ENSMUSG00000036377,babelgene
ENSG00000196872,Mus musculus,ENSMUSG00000026090,babelgene
ENSG00000130038,Mus musculus,ENSMUSG00000061414,babelgene
ENSG00000177685,Mus musculus,ENSMUSG00000048200,babelgene
ENSG00000169372,Mus musculus,ENSMUSG00000045867,babelgene
ENSG00000007545,Mus musculus,ENSMUSG00000038002,babelgene
ENSG00000095321,Mus musculus,ENSMUSG00000026853,babelgene
ENSG00000134376,Mus musculus,ENSMUSG00000063681,babelgene
ENSG00000148204,Mus musculus,ENSMUSG00000035403,babelgene
ENSG00000130545,Mus musculus,ENSMUSG00000044279,babelgene
ENSG00000113851,Mus musculus,ENSMUSG00000005362,babelgene
ENSG00000241258,Mus musculus,ENSMUSG00000025532,babelgene
ENSG00000118260,Mus musculus,ENSMUSG00000025958,babelgene
ENSG00000107175,Mus musculus,ENSMUSG00000028466,babelgene
ENSG00000157613,Mus musculus,ENSMUSG00000027230,babelgene
ENSG00000182158,Mus musculus,ENSMUSG00000038648,babelgene
ENSG00000060566,Mus musculus,ENSMUSG00000035041,babelgene
ENSG00000143578,Mus musculus,ENSMUSG00000027938,babelgene
ENSG00000146592,Mus musculus,ENSMUSG00000053007,babelgene
ENSG00000005339,Mus musculus,ENSMUSG00000022521,babelgene
ENSG00000111269,Mus musculus,ENSMUSG00000032652,babelgene
ENSG00000164463,Mus musculus,ENSMUSG00000048249,babelgene
ENSG00000137504,Mus musculus,ENSMUSG00000051451,babelgene
ENSG00000143162,Mus musculus,ENSMUSG00000040713,babelgene
ENSG00000175874,Mus musculus,ENSMUSG00000050967,babelgene
ENSG00000163703,Mus musculus,ENSMUSG00000030284,babelgene
ENSG00000184164,Mus musculus,ENSMUSG00000023272,babelgene
ENSG00000095794,Mus musculus,ENSMUSG00000063889,babelgene
ENSG00000147571,Mus musculus,ENSMUSG00000049796,babelgene
ENSG00000145708,Mus musculus,ENSMUSG00000021680,babelgene
ENSG00000120088,Mus musculus,ENSMUSG00000018634,babelgene
ENSG00000106113,Mus musculus,ENSMUSG00000003476,babelgene
ENSG00000150938,Mus musculus,ENSMUSG00000024074,babelgene
ENSG00000213145,Mus musculus,ENSMUSG00000006360,babelgene
ENSG00000182809,Mus musculus,ENSMUSG00000006356,babelgene
ENSG00000146215,Mus musculus,ENSMUSG00000023968,babelgene
ENSG00000119878,Mus musculus,ENSMUSG00000024146,babelgene
ENSG00000121005,Mus musculus,ENSMUSG00000025776,babelgene
ENSG00000103196,Mus musculus,ENSMUSG00000031825,babelgene
ENSG00000167193,Mus musculus,ENSMUSG00000017776,babelgene
ENSG00000099942,Mus musculus,ENSMUSG00000006134,babelgene
ENSG00000006016,Mus musculus,ENSMUSG00000007888,babelgene
ENSG00000176390,Mus musculus,ENSMUSG00000017561,babelgene
ENSG00000088766,Mus musculus,ENSMUSG00000027357,babelgene
ENSG00000072832,Mus musculus,ENSMUSG00000029121,babelgene
ENSG00000245694,Mus musculus,ENSMUSG00000031736,babelgene
ENSG00000101343,Mus musculus,ENSMUSG00000001767,babelgene
ENSG00000058453,Mus musculus,ENSMUSG00000040860,babelgene
ENSG00000226321,Mus musculus,ENSMUSG00000084989,babelgene
ENSG00000005469,Mus musculus,ENSMUSG00000003623,babelgene
ENSG00000132693,Mus musculus,ENSMUSG00000037942,babelgene
ENSG00000214960,Mus musculus,ENSMUSG00000043153,babelgene
ENSG00000095713,Mus musculus,ENSMUSG00000042401,babelgene
ENSG00000109943,Mus musculus,ENSMUSG00000032021,babelgene
ENSG00000170275,Mus musculus,ENSMUSG00000032431,babelgene
ENSG00000105662,Mus musculus,ENSMUSG00000003575,babelgene
ENSG00000160741,Mus musculus,ENSMUSG00000027936,babelgene
ENSG00000140577,Mus musculus,ENSMUSG00000030527,babelgene
ENSG00000105392,Mus musculus,ENSMUSG00000041578,babelgene
ENSG00000008405,Mus musculus,ENSMUSG00000020038,babelgene
ENSG00000121671,Mus musculus,ENSMUSG00000068742,babelgene
ENSG00000160202,Mus musculus,ENSMUSG00000024041,babelgene
ENSG00000276076,Mus musculus,ENSMUSG00000024041,babelgene
ENSG00000109846,Mus musculus,ENSMUSG00000032060,babelgene
ENSG00000108255,Mus musculus,ENSMUSG00000000724,babelgene
ENSG00000163499,Mus musculus,ENSMUSG00000006546,babelgene
ENSG00000196431,Mus musculus,ENSMUSG00000066975,babelgene
ENSG00000100122,Mus musculus,ENSMUSG00000029343,babelgene
ENSG00000244752,Mus musculus,ENSMUSG00000042240,babelgene
ENSG00000100053,Mus musculus,ENSMUSG00000029352,babelgene
ENSG00000112297,Mus musculus,ENSMUSG00000019866,babelgene
ENSG00000176092,Mus musculus,ENSMUSG00000012123,babelgene
ENSG00000080200,Mus musculus,ENSMUSG00000022723,babelgene
ENSG00000168582,Mus musculus,ENSMUSG00000044429,babelgene
ENSG00000163254,Mus musculus,ENSMUSG00000025952,babelgene
ENSG00000118231,Mus musculus,ENSMUSG00000067299,babelgene
ENSG00000127377,Mus musculus,ENSMUSG00000038135,babelgene
ENSG00000213139,Mus musculus,ENSMUSG00000033501,babelgene
ENSG00000165475,Mus musculus,ENSMUSG00000021947,babelgene
ENSG00000103316,Mus musculus,ENSMUSG00000030905,babelgene
ENSG00000116791,Mus musculus,ENSMUSG00000028199,babelgene
ENSG00000205758,Mus musculus,ENSMUSG00000058240,babelgene
ENSG00000062485,Mus musculus,ENSMUSG00000005683,babelgene
ENSG00000139631,Mus musculus,ENSMUSG00000023044,babelgene
ENSG00000172346,Mus musculus,ENSMUSG00000042109,babelgene
ENSG00000009307,Mus musculus,ENSMUSG00000068823,babelgene
ENSG00000124207,Mus musculus,ENSMUSG00000002718,babelgene
ENSG00000184371,Mus musculus,ENSMUSG00000014599,babelgene
ENSG00000182578,Mus musculus,ENSMUSG00000024621,babelgene
ENSG00000164400,Mus musculus,ENSMUSG00000018916,babelgene
ENSG00000198223,Mus musculus,ENSMUSG00000059326,babelgene
ENSG00000100368,Mus musculus,ENSMUSG00000071714,babelgene
ENSG00000108342,Mus musculus,ENSMUSG00000038067,babelgene
ENSG00000119535,Mus musculus,ENSMUSG00000028859,babelgene
ENSG00000147408,Mus musculus,ENSMUSG00000036356,babelgene
ENSG00000169826,Mus musculus,ENSMUSG00000042042,babelgene
ENSG00000103653,Mus musculus,ENSMUSG00000032312,babelgene
ENSG00000183117,Mus musculus,ENSMUSG00000060924,babelgene
ENSG00000121904,Mus musculus,ENSMUSG00000028804,babelgene
ENSG00000164796,Mus musculus,ENSMUSG00000022311,babelgene
ENSG00000113712,Mus musculus,ENSMUSG00000024576,babelgene
ENSG00000180138,Mus musculus,ENSMUSG00000024576,babelgene
ENSG00000141551,Mus musculus,ENSMUSG00000025162,babelgene
ENSG00000213923,Mus musculus,ENSMUSG00000022433,babelgene
ENSG00000169118,Mus musculus,ENSMUSG00000032384,babelgene
ENSG00000133275,Mus musculus,ENSMUSG00000003345,babelgene
ENSG00000151292,Mus musculus,ENSMUSG00000073563,babelgene
ENSG00000101266,Mus musculus,ENSMUSG00000074698,babelgene
ENSG00000070770,Mus musculus,ENSMUSG00000046707,babelgene
ENSG00000254598,Mus musculus,ENSMUSG00000074698,babelgene
ENSG00000204435,Mus musculus,ENSMUSG00000024387,babelgene
ENSG00000283434,Mus musculus,ENSMUSG00000068167,babelgene
ENSG00000173546,Mus musculus,ENSMUSG00000032911,babelgene
ENSG00000114646,Mus musculus,ENSMUSG00000032482,babelgene
ENSG00000104218,Mus musculus,ENSMUSG00000056763,babelgene
ENSG00000144655,Mus musculus,ENSMUSG00000032515,babelgene
ENSG00000110925,Mus musculus,ENSMUSG00000044636,babelgene
ENSG00000178662,Mus musculus,ENSMUSG00000044647,babelgene
ENSG00000159176,Mus musculus,ENSMUSG00000026421,babelgene
ENSG00000175183,Mus musculus,ENSMUSG00000020186,babelgene
ENSG00000129170,Mus musculus,ENSMUSG00000030470,babelgene
ENSG00000170373,Mus musculus,ENSMUSG00000033156,babelgene
ENSG00000170373,Mus musculus,ENSMUSG00000027447,babelgene
ENSG00000101439,Mus musculus,ENSMUSG00000027447,babelgene
ENSG00000101441,Mus musculus,ENSMUSG00000033156,babelgene
ENSG00000101441,Mus musculus,ENSMUSG00000027447,babelgene
ENSG00000175315,Mus musculus,ENSMUSG00000024846,babelgene
ENSG00000077984,Mus musculus,ENSMUSG00000068129,babelgene
ENSG00000121552,Mus musculus,ENSMUSG00000095620,babelgene
ENSG00000160213,Mus musculus,ENSMUSG00000005054,babelgene
ENSG00000101138,Mus musculus,ENSMUSG00000027498,babelgene
ENSG00000101811,Mus musculus,ENSMUSG00000031256,babelgene
ENSG00000177613,Mus musculus,ENSMUSG00000053536,babelgene
ENSG00000176102,Mus musculus,ENSMUSG00000027176,babelgene
ENSG00000149179,Mus musculus,ENSMUSG00000040591,babelgene
ENSG00000268940,Mus musculus,ENSMUSG00000064016,babelgene
ENSG00000269586,Mus musculus,ENSMUSG00000064016,babelgene
ENSG00000228836,Mus musculus,ENSMUSG00000064016,babelgene
ENSG00000278289,Mus musculus,ENSMUSG00000064016,babelgene
ENSG00000169551,Mus musculus,ENSMUSG00000079593,babelgene
ENSG00000169551,Mus musculus,ENSMUSG00000055555,babelgene
ENSG00000184033,Mus musculus,ENSMUSG00000079536,babelgene
ENSG00000212710,Mus musculus,ENSMUSG00000021000,babelgene
ENSG00000271079,Mus musculus,ENSMUSG00000021000,babelgene
ENSG00000288784,Mus musculus,ENSMUSG00000021000,babelgene
ENSG00000271321,Mus musculus,ENSMUSG00000021000,babelgene
ENSG00000289604,Mus musculus,ENSMUSG00000021000,babelgene
ENSG00000236761,Mus musculus,ENSMUSG00000021000,babelgene
ENSG00000159692,Mus musculus,ENSMUSG00000037373,babelgene
ENSG00000175029,Mus musculus,ENSMUSG00000030970,babelgene
ENSG00000117151,Mus musculus,ENSMUSG00000028189,babelgene
ENSG00000178971,Mus musculus,ENSMUSG00000020898,babelgene
ENSG00000102974,Mus musculus,ENSMUSG00000005698,babelgene
ENSG00000124092,Mus musculus,ENSMUSG00000070495,babelgene
ENSG00000175826,Mus musculus,ENSMUSG00000018559,babelgene
ENSG00000060069,Mus musculus,ENSMUSG00000033323,babelgene
ENSG00000144579,Mus musculus,ENSMUSG00000026176,babelgene
ENSG00000175215,Mus musculus,ENSMUSG00000078429,babelgene
ENSG00000144677,Mus musculus,ENSMUSG00000047409,babelgene
ENSG00000137770,Mus musculus,ENSMUSG00000033411,babelgene
ENSG00000150281,Mus musculus,ENSMUSG00000042340,babelgene
ENSG00000116761,Mus musculus,ENSMUSG00000028179,babelgene
ENSG00000164932,Mus musculus,ENSMUSG00000054196,babelgene
ENSG00000134030,Mus musculus,ENSMUSG00000052928,babelgene
ENSG00000163599,Mus musculus,ENSMUSG00000026011,babelgene
ENSG00000044115,Mus musculus,ENSMUSG00000037815,babelgene
ENSG00000066032,Mus musculus,ENSMUSG00000063063,babelgene
ENSG00000183230,Mus musculus,ENSMUSG00000060843,babelgene
ENSG00000119326,Mus musculus,ENSMUSG00000038816,babelgene
ENSG00000168036,Mus musculus,ENSMUSG00000006932,babelgene
ENSG00000178585,Mus musculus,ENSMUSG00000028988,babelgene
ENSG00000132792,Mus musculus,ENSMUSG00000027649,babelgene
ENSG00000198561,Mus musculus,ENSMUSG00000034101,babelgene
ENSG00000169862,Mus musculus,ENSMUSG00000022240,babelgene
ENSG00000040531,Mus musculus,ENSMUSG00000005949,babelgene
ENSG00000171793,Mus musculus,ENSMUSG00000028633,babelgene
ENSG00000047230,Mus musculus,ENSMUSG00000031360,babelgene
ENSG00000198730,Mus musculus,ENSMUSG00000005609,babelgene
ENSG00000168925,Mus musculus,ENSMUSG00000031957,babelgene
ENSG00000168928,Mus musculus,ENSMUSG00000031957,babelgene
ENSG00000162438,Mus musculus,ENSMUSG00000062478,babelgene
ENSG00000141086,Mus musculus,ENSMUSG00000031896,babelgene
ENSG00000064601,Mus musculus,ENSMUSG00000017760,babelgene
ENSG00000164733,Mus musculus,ENSMUSG00000021939,babelgene
ENSG00000109861,Mus musculus,ENSMUSG00000030560,babelgene
ENSG00000117984,Mus musculus,ENSMUSG00000007891,babelgene
ENSG00000196188,Mus musculus,ENSMUSG00000004552,babelgene
ENSG00000174080,Mus musculus,ENSMUSG00000083282,babelgene
ENSG00000103811,Mus musculus,ENSMUSG00000032359,babelgene
ENSG00000143387,Mus musculus,ENSMUSG00000028111,babelgene
ENSG00000135047,Mus musculus,ENSMUSG00000021477,babelgene
ENSG00000256043,Mus musculus,ENSMUSG00000028015,babelgene
ENSG00000163131,Mus musculus,ENSMUSG00000038642,babelgene
ENSG00000136943,Mus musculus,ENSMUSG00000021477,babelgene
ENSG00000172543,Mus musculus,ENSMUSG00000024910,babelgene
ENSG00000101160,Mus musculus,ENSMUSG00000016256,babelgene
ENSG00000085733,Mus musculus,ENSMUSG00000031078,babelgene
ENSG00000077063,Mus musculus,ENSMUSG00000000416,babelgene
ENSG00000143079,Mus musculus,ENSMUSG00000062127,babelgene
ENSG00000142544,Mus musculus,ENSMUSG00000038888,babelgene
ENSG00000174177,Mus musculus,ENSMUSG00000049482,babelgene
ENSG00000178531,Mus musculus,ENSMUSG00000048644,babelgene
ENSG00000233932,Mus musculus,ENSMUSG00000074872,babelgene
ENSG00000205279,Mus musculus,ENSMUSG00000069372,babelgene
ENSG00000259417,Mus musculus,ENSMUSG00000097789,babelgene
ENSG00000283324,Mus musculus,ENSMUSG00000105734,babelgene
ENSG00000107611,Mus musculus,ENSMUSG00000026726,babelgene
ENSG00000180891,Mus musculus,ENSMUSG00000018378,babelgene
ENSG00000107874,Mus musculus,ENSMUSG00000036748,babelgene
ENSG00000055130,Mus musculus,ENSMUSG00000029686,babelgene
ENSG00000108094,Mus musculus,ENSMUSG00000024231,babelgene
ENSG00000036257,Mus musculus,ENSMUSG00000004364,babelgene
ENSG00000139842,Mus musculus,ENSMUSG00000031446,babelgene
ENSG00000158290,Mus musculus,ENSMUSG00000031095,babelgene
ENSG00000166266,Mus musculus,ENSMUSG00000032030,babelgene
ENSG00000044090,Mus musculus,ENSMUSG00000038545,babelgene
ENSG00000112659,Mus musculus,ENSMUSG00000040327,babelgene
ENSG00000112514,Mus musculus,ENSMUSG00000024194,babelgene
ENSG00000119929,Mus musculus,ENSMUSG00000025193,babelgene
ENSG00000257923,Mus musculus,ENSMUSG00000029705,babelgene
ENSG00000111249,Mus musculus,ENSMUSG00000042589,babelgene
ENSG00000138161,Mus musculus,ENSMUSG00000040205,babelgene
ENSG00000150316,Mus musculus,ENSMUSG00000004096,babelgene
ENSG00000163510,Mus musculus,ENSMUSG00000027014,babelgene
ENSG00000273559,Mus musculus,ENSMUSG00000018541,babelgene
ENSG00000153015,Mus musculus,ENSMUSG00000021715,babelgene
ENSG00000095485,Mus musculus,ENSMUSG00000025200,babelgene
ENSG00000152404,Mus musculus,ENSMUSG00000025898,babelgene
ENSG00000109182,Mus musculus,ENSMUSG00000029154,babelgene
ENSG00000006210,Mus musculus,ENSMUSG00000031778,babelgene
ENSG00000168329,Mus musculus,ENSMUSG00000052336,babelgene
ENSG00000154639,Mus musculus,ENSMUSG00000022865,babelgene
ENSG00000163739,Mus musculus,ENSMUSG00000029380,babelgene
ENSG00000163739,Mus musculus,ENSMUSG00000058427,babelgene
ENSG00000163739,Mus musculus,ENSMUSG00000029379,babelgene
ENSG00000169245,Mus musculus,ENSMUSG00000034855,babelgene
ENSG00000169248,Mus musculus,ENSMUSG00000060183,babelgene
ENSG00000107562,Mus musculus,ENSMUSG00000061353,babelgene
ENSG00000156234,Mus musculus,ENSMUSG00000023078,babelgene
ENSG00000145824,Mus musculus,ENSMUSG00000021508,babelgene
ENSG00000161921,Mus musculus,ENSMUSG00000018920,babelgene
ENSG00000189377,Mus musculus,ENSMUSG00000060188,babelgene
ENSG00000081041,Mus musculus,ENSMUSG00000029380,babelgene
ENSG00000163734,Mus musculus,ENSMUSG00000058427,babelgene
ENSG00000163735,Mus musculus,ENSMUSG00000029371,babelgene
ENSG00000124875,Mus musculus,ENSMUSG00000029371,babelgene
ENSG00000163464,Mus musculus,ENSMUSG00000048480,babelgene
ENSG00000180871,Mus musculus,ENSMUSG00000026180,babelgene
ENSG00000186810,Mus musculus,ENSMUSG00000050232,babelgene
ENSG00000121966,Mus musculus,ENSMUSG00000045382,babelgene
ENSG00000160683,Mus musculus,ENSMUSG00000047880,babelgene
ENSG00000172215,Mus musculus,ENSMUSG00000048521,babelgene
ENSG00000185753,Mus musculus,ENSMUSG00000044148,babelgene
ENSG00000215115,Mus musculus,ENSMUSG00000071749,babelgene
ENSG00000215115,Mus musculus,ENSMUSG00000046774,babelgene
ENSG00000215115,Mus musculus,ENSMUSG00000045010,babelgene
ENSG00000215113,Mus musculus,ENSMUSG00000071749,babelgene
ENSG00000215113,Mus musculus,ENSMUSG00000046774,babelgene
ENSG00000215113,Mus musculus,ENSMUSG00000045010,babelgene
ENSG00000165182,Mus musculus,ENSMUSG00000118554,babelgene
ENSG00000204165,Mus musculus,ENSMUSG00000090141,babelgene
ENSG00000154832,Mus musculus,ENSMUSG00000024560,babelgene
ENSG00000168772,Mus musculus,ENSMUSG00000044365,babelgene
ENSG00000171604,Mus musculus,ENSMUSG00000046668,babelgene
ENSG00000008283,Mus musculus,ENSMUSG00000019590,babelgene
ENSG00000162144,Mus musculus,ENSMUSG00000034445,babelgene
ENSG00000174151,Mus musculus,ENSMUSG00000048796,babelgene
ENSG00000114395,Mus musculus,ENSMUSG00000037190,babelgene
ENSG00000271858,Mus musculus,ENSMUSG00000037190,babelgene
ENSG00000166347,Mus musculus,ENSMUSG00000024646,babelgene
ENSG00000103018,Mus musculus,ENSMUSG00000031924,babelgene
ENSG00000182224,Mus musculus,ENSMUSG00000044795,babelgene
ENSG00000167740,Mus musculus,ENSMUSG00000057778,babelgene
ENSG00000159348,Mus musculus,ENSMUSG00000026456,babelgene
ENSG00000166394,Mus musculus,ENSMUSG00000048065,babelgene
ENSG00000100243,Mus musculus,ENSMUSG00000018042,babelgene
ENSG00000065615,Mus musculus,ENSMUSG00000032872,babelgene
ENSG00000215883,Mus musculus,ENSMUSG00000028621,babelgene
ENSG00000051523,Mus musculus,ENSMUSG00000006519,babelgene
ENSG00000165168,Mus musculus,ENSMUSG00000015340,babelgene
ENSG00000178927,Mus musculus,ENSMUSG00000039294,babelgene
ENSG00000071967,Mus musculus,ENSMUSG00000027015,babelgene
ENSG00000179091,Mus musculus,ENSMUSG00000022551,babelgene
ENSG00000172115,Mus musculus,ENSMUSG00000063694,babelgene
ENSG00000273749,Mus musculus,ENSMUSG00000030447,babelgene
ENSG00000055163,Mus musculus,ENSMUSG00000020340,babelgene
ENSG00000161544,Mus musculus,ENSMUSG00000020810,babelgene
ENSG00000155833,Mus musculus,ENSMUSG00000039555,babelgene
ENSG00000083799,Mus musculus,ENSMUSG00000036712,babelgene
ENSG00000140459,Mus musculus,ENSMUSG00000032323,babelgene
ENSG00000148795,Mus musculus,ENSMUSG00000003555,babelgene
ENSG00000137869,Mus musculus,ENSMUSG00000032274,babelgene
ENSG00000140465,Mus musculus,ENSMUSG00000032315,babelgene
ENSG00000140505,Mus musculus,ENSMUSG00000032310,babelgene
ENSG00000138061,Mus musculus,ENSMUSG00000024087,babelgene
ENSG00000119004,Mus musculus,ENSMUSG00000049439,babelgene
ENSG00000231852,Mus musculus,ENSMUSG00000024365,babelgene
ENSG00000019186,Mus musculus,ENSMUSG00000038567,babelgene
ENSG00000095596,Mus musculus,ENSMUSG00000024987,babelgene
ENSG00000003137,Mus musculus,ENSMUSG00000063415,babelgene
ENSG00000187553,Mus musculus,ENSMUSG00000062432,babelgene
ENSG00000135929,Mus musculus,ENSMUSG00000026170,babelgene
ENSG00000111012,Mus musculus,ENSMUSG00000006724,babelgene
ENSG00000255974,Mus musculus,ENSMUSG00000005547,babelgene
ENSG00000197408,Mus musculus,ENSMUSG00000030483,babelgene
ENSG00000197408,Mus musculus,ENSMUSG00000066704,babelgene
ENSG00000108242,Mus musculus,ENSMUSG00000025002,babelgene
ENSG00000165841,Mus musculus,ENSMUSG00000067231,babelgene
ENSG00000165841,Mus musculus,ENSMUSG00000067229,babelgene
ENSG00000138115,Mus musculus,ENSMUSG00000067231,babelgene
ENSG00000138115,Mus musculus,ENSMUSG00000067229,babelgene
ENSG00000138109,Mus musculus,ENSMUSG00000067231,babelgene
ENSG00000138109,Mus musculus,ENSMUSG00000067229,babelgene
ENSG00000100197,Mus musculus,ENSMUSG00000061740,babelgene
ENSG00000205702,Mus musculus,ENSMUSG00000061740,babelgene
ENSG00000130649,Mus musculus,ENSMUSG00000025479,babelgene
ENSG00000134716,Mus musculus,ENSMUSG00000015224,babelgene
ENSG00000186104,Mus musculus,ENSMUSG00000030670,babelgene
ENSG00000167600,Mus musculus,ENSMUSG00000040703,babelgene
ENSG00000155016,Mus musculus,ENSMUSG00000027983,babelgene
ENSG00000073067,Mus musculus,ENSMUSG00000029541,babelgene
ENSG00000146233,Mus musculus,ENSMUSG00000023963,babelgene
ENSG00000160868,Mus musculus,ENSMUSG00000056035,babelgene
ENSG00000021461,Mus musculus,ENSMUSG00000029727,babelgene
ENSG00000021461,Mus musculus,ENSMUSG00000029630,babelgene
ENSG00000021461,Mus musculus,ENSMUSG00000070419,babelgene
ENSG00000106258,Mus musculus,ENSMUSG00000056035,babelgene
ENSG00000160870,Mus musculus,ENSMUSG00000029727,babelgene
ENSG00000282301,Mus musculus,ENSMUSG00000075551,babelgene
ENSG00000036530,Mus musculus,ENSMUSG00000021259,babelgene
ENSG00000187048,Mus musculus,ENSMUSG00000028712,babelgene
ENSG00000162365,Mus musculus,ENSMUSG00000028712,babelgene
ENSG00000142973,Mus musculus,ENSMUSG00000028713,babelgene
ENSG00000171903,Mus musculus,ENSMUSG00000024292,babelgene
ENSG00000171903,Mus musculus,ENSMUSG00000073424,babelgene
ENSG00000171903,Mus musculus,ENSMUSG00000090700,babelgene
ENSG00000186204,Mus musculus,ENSMUSG00000024292,babelgene
ENSG00000186115,Mus musculus,ENSMUSG00000024292,babelgene
ENSG00000186115,Mus musculus,ENSMUSG00000073424,babelgene
ENSG00000171954,Mus musculus,ENSMUSG00000061126,babelgene
ENSG00000186529,Mus musculus,ENSMUSG00000003484,babelgene
ENSG00000145476,Mus musculus,ENSMUSG00000079057,babelgene
ENSG00000186377,Mus musculus,ENSMUSG00000047155,babelgene
ENSG00000186160,Mus musculus,ENSMUSG00000047155,babelgene
ENSG00000001630,Mus musculus,ENSMUSG00000001467,babelgene
ENSG00000167910,Mus musculus,ENSMUSG00000028240,babelgene
ENSG00000172817,Mus musculus,ENSMUSG00000039519,babelgene
ENSG00000180432,Mus musculus,ENSMUSG00000050445,babelgene
ENSG00000122783,Mus musculus,ENSMUSG00000046806,babelgene
ENSG00000197872,Mus musculus,ENSMUSG00000020589,babelgene
ENSG00000153310,Mus musculus,ENSMUSG00000022378,babelgene
ENSG00000205795,Mus musculus,ENSMUSG00000062563,babelgene
ENSG00000173198,Mus musculus,ENSMUSG00000052821,babelgene
ENSG00000152207,Mus musculus,ENSMUSG00000033470,babelgene
ENSG00000197191,Mus musculus,ENSMUSG00000036731,babelgene
ENSG00000120306,Mus musculus,ENSMUSG00000046727,babelgene
ENSG00000108669,Mus musculus,ENSMUSG00000017132,babelgene
ENSG00000105443,Mus musculus,ENSMUSG00000003269,babelgene
ENSG00000008256,Mus musculus,ENSMUSG00000018001,babelgene
ENSG00000100055,Mus musculus,ENSMUSG00000018008,babelgene
ENSG00000115165,Mus musculus,ENSMUSG00000026832,babelgene
ENSG00000170891,Mus musculus,ENSMUSG00000062329,babelgene
ENSG00000166265,Mus musculus,ENSMUSG00000041134,babelgene
ENSG00000162384,Mus musculus,ENSMUSG00000028608,babelgene
ENSG00000180902,Mus musculus,ENSMUSG00000073609,babelgene
ENSG00000100592,Mus musculus,ENSMUSG00000034574,babelgene
ENSG00000146122,Mus musculus,ENSMUSG00000040260,babelgene
ENSG00000173406,Mus musculus,ENSMUSG00000028519,babelgene
ENSG00000153071,Mus musculus,ENSMUSG00000022150,babelgene
ENSG00000136848,Mus musculus,ENSMUSG00000026883,babelgene
ENSG00000276644,Mus musculus,ENSMUSG00000055639,babelgene
ENSG00000126733,Mus musculus,ENSMUSG00000025592,babelgene
