gene_id,symbol,og_id,human_ortholog
AT2G21470,ATSAE2|EMB2764|SAE2,4977382at2759,ENSG00000126261.13|ENSG00000126261.13
AT2G21480,BUPS2,747860at2759,
AT2G21490,LEA,194679at2759,
AT2G21510,,4864431at2759,
AT2G21580,eS25y,4977723at2759,ENSG00000118181.11;ENSG00000280831;ENSG00000280831.3|ENSG00000118181.11;ENSG00000280831.3
AT2G21590,APL4,143921at2759,
AT2G21620,RD2,137182at2759,
AT2G21650,ATRL2|MEE3|RSM1,176067at2759,
AT2G21660,ATGRP7|CCR2|GR-RBP7|GRP7|RBGA3|SRBP1,344249at2759,ENSG00000132819.17|ENSG00000102317.18|ENSG00000099622.14|ENSG00000099622.14|ENSG00000132819.17|ENSG00000102317.18
AT2G21780,,343631at2759,
AT2G21790,ATRNR1|CLS8|DPD2|R1|RNR1,4791320at2759,ENSG00000167325.15|ENSG00000167325.15
AT2G21820,,666712at2759,
AT2G21870,MGP1|PHI1,656051at2759,
AT2G21880,ATRAB7A|ATRABG2|RAB7A,255363at2759,
AT2G21940,ATSK1|SK1,5004495at2759,
AT2G21970,SEP2,318887at2759,
AT2G22010,RKP,808426at2759,
AT2G22070,,471140at2759,
AT2G22090,UBA1A,195274at2759,
AT2G22100,,342736at2759,
AT2G22120,,4928072at2759,ENSG00000173926.6|ENSG00000099785.11|ENSG00000099785.11
AT2G22190,TPPE,5000721at2759,
AT2G22240,ATIPS2|ATMIPS2|MIPS2,723392at2759,ENSG00000105655.19
AT2G22250,AAT|ATAAT|MEE17|PAT,3098969at2759,ENSG00000171097.14;ENSG00000286112.1|ENSG00000137944.18|ENSG00000137944.18|ENSG00000171097.14
AT2G22270,,295492at2759,
AT2G22290,ATRAB-H1D|ATRAB6|ATRABH1D|RAB-H1D|RABH1d,534297at2759,ENSG00000175582.20|ENSG00000233087.8|ENSG00000154917.11|ENSG00000147127.8|ENSG00000222014.6|ENSG00000233087.8|ENSG00000154917.11|ENSG00000175582.20
AT2G22360,DJA6,5003508at2759,
AT2G22370,MED18,221547at2759,
AT2G22420,PRX17,640662at2759,
AT2G22475,GEM,618660at2759,
AT2G22480,PFK5,2684792at2759,
AT2G22500,ATPUMP5|DIC1|UCP5,4977515at2759,ENSG00000120329.7|ENSG00000102743.16|ENSG00000120329.7|ENSG00000102743.16
AT2G22540,AGL22|FAQ1|SVP,397647at2759,
AT2G22630,AGL17,33915at2759,
AT2G22640,ATBRK1|BRK1|HSPC300,332022at2759,ENSG00000254999.4|ENSG00000254999.4
AT2G22760,,284517at2759,
AT2G22770,NAI1,333623at2759,
AT2G22780,PMDH1,801124at2759,
AT2G22800,HAT9,688433at2759,
AT2G22850,AtbZIP6|bZIP6,307512at2759,
AT2G22880,VQ12,692052at2759,
AT2G22890,,5005632at2759,
AT2G22900,MAGT1|MUCI10,543615at2759,
AT2G22905,,317213at2759,
AT2G22990,SCPL8|SNG1,263878at2759,
AT2G23080,CKA3,5003886at2759,ENSG00000254598.3|ENSG00000070770.10|ENSG00000101266.19|ENSG00000070770.10|ENSG00000101266.19
AT2G23090,,745159at2759,
AT2G23110,,679857at2759,
AT2G23270,PIP3|prePIP3,688079at2759,
AT2G23348,,275244at2759,
AT2G23350,PAB4|PABP4,5002515at2759,ENSG00000090621.15|ENSG00000070756;ENSG00000070756.17|ENSG00000101104.13|ENSG00000151923.18|ENSG00000174740.8|ENSG00000116001.17|ENSG00000151846.9|ENSG00000090621.15|ENSG00000116001.17|ENSG00000254535.4|ENSG00000070756.17|ENSG00000151923.18|ENSG00000151846.9|ENSG00000101104.13|ENSG00000174740.8
AT2G23390,,5001130at2759,
AT2G23420,NAPRT2,720096at2759,
AT2G23520,,701648at2759,
AT2G23550,ABE1|ATMES6|MES6,263528at2759,
AT2G23560,ATMES7|MES7,710862at2759,
AT2G23690,,333940at2759,
AT2G23760,BLH4|SAW2,340049at2759,
AT2G23810,TET8,110816at2759,
AT2G23840,,225537at2759,
AT2G23930,SNRNP-G,5013150at2759,ENSG00000143977.14|ENSG00000143977.14
AT2G23940,,5017632at2759,
AT2G23950,CIK2|CLERK,630255at2759,
AT2G23960,,284817at2759,
AT2G23970,,284817at2759,
AT2G24010,scpl23,4805980at2759,
AT2G24020,STIC2,598824at2759,
AT2G24040,,424292at2759,
AT2G24050,eIFiso4G2,762617at2759,
AT2G24060,AtIF3-2|AtINFC-2|SVR9,793294at2759,
AT2G24090,bL35c|PRPL35,4896679at2759,
AT2G24120,PDE319|SCA3,5001062at2759,ENSG00000099821.14|ENSG00000099821.14
AT2G24195,,328486at2759,
AT2G24220,ATPUP5|PUP5,676225at2759,
AT2G24240,,588921at2759,
AT2G24270,ALDH11A3,5014036at2759,
AT2G24300,CBP60e,170125at2759,
AT2G24330,LNP1|LNPB,228791at2759,
AT2G24360,RAF22|STYK,594030at2759,
AT2G24390,AIG2LD,257722at2759,
AT2G24430,ANAC038|ANAC039|NAC038,651136at2759,
AT2G24440,,670292at2759,
AT2G24490,ATRPA2|ATRPA32A|ROR1|RPA2|RPA32A,603557at2759,
AT2G24530,ADA1E,624064at2759,
AT2G24550,,692674at2759,
AT2G24580,,5014972at2759,ENSG00000179761.12|ENSG00000179761.12
AT2G24610,ATCNGC14|CNGC14,4782124at2759,
AT2G24693,,267102at2759,
AT2G24762,AtGDU4|GDU4,652660at2759,
AT2G24765,ARF3|ARL1|ATARL1,4819201at2759,ENSG00000168374.11|ENSG00000122644.13|ENSG00000179674.4|ENSG00000134287.10|ENSG00000162980.17|ENSG00000165527.8|ENSG00000141748.13|ENSG00000175906.5|ENSG00000185829.19;ENSG00000228696.11;ENSG00000275748.4;ENSG00000276276.4|ENSG00000004059.11|ENSG00000120805.14|ENSG00000165997.5|ENSG00000143761.17|ENSG00000152213.4|ENSG00000188042.8|ENSG00000138175.9|ENSG00000143761.17|ENSG00000162980.17|ENSG00000188042.8|ENSG00000168374.11|ENSG00000179674.4|ENSG00000122644.13|ENSG00000004059.11|ENSG00000138175.9|ENSG00000165997.5|ENSG00000213465.8|ENSG00000120805.14|ENSG00000134287.10|ENSG00000152213.4|ENSG00000165527.8|ENSG00000175906.5|ENSG00000141748.13|ENSG00000185829.19;ENSG00000275748.4;ENSG00000276276.4|ENSG00000185829.19;ENSG00000275748.4;ENSG00000276276.4
AT2G24820,AtTic55|Tic55|TIC55-II,4848236at2759,
AT2G24860,EIJ1,214993at2759,
AT2G24940,AtMAPR2|MAPR2,4973685at2759,ENSG00000117691.10|ENSG00000117691.10
AT2G24970,,673302at2759,
AT2G25070,,5014181at2759,ENSG00000100614.18|ENSG00000115241.11|ENSG00000138032.21|ENSG00000213889.11|ENSG00000115241.11|ENSG00000138032.21|ENSG00000100614.18|ENSG00000213889.11
AT2G25090,AtCIPK16|CIPK16|SnRK3.18,304220at2759,
AT2G25100,,807753at2759,ENSG00000104889.7|ENSG00000104889.7
AT2G25260,HPAT2,803501at2759,
AT2G25280,,4999005at2759,ENSG00000162959.14|ENSG00000162959.14
AT2G25290,Phox1,663647at2759,
AT2G25310,,788315at2759,
AT2G25560,,646654at2759,
AT2G25605,,5004000at2759,
AT2G25610,"VHA-c""",749256at2759,ENSG00000117410.14|ENSG00000117410.14
AT2G25620,AtDBP1|DBP1,5017799at2759,ENSG00000100034.14|ENSG00000100034.14
AT2G25625,CV,128152at2759,
AT2G25720,,677327at2759,
AT2G25737,,183231at2759,
AT2G25740,,4417784at2759,ENSG00000113851.16|ENSG00000113851.16
AT2G25760,AEL1|MLK3|PPK4,4998877at2759,
AT2G25770,,687442at2759,
AT2G25880,AtAUR2|AUR2,3497239at2759,ENSG00000087586.18|ENSG00000178999.13|ENSG00000105146.14|ENSG00000178999.13|ENSG00000105146.14|ENSG00000087586.18
AT2G25890,,514384at2759,
AT2G25920,,637440at2759,
AT2G25950,,4804397at2759,
AT2G25980,,274352at2759,
AT2G26000,BRIZ2,5016116at2759,ENSG00000089234.16
AT2G26020,PDF1.2b,254988at2759,
AT2G26180,IQD6,660724at2759,
AT2G26310,AtFAP2|FAP2,216120at2759,
AT2G26330,ER|QRP1,643341at2759,
AT2G26430,ATRCY1|CYCL1|MOS12|RCY1,446290at2759,ENSG00000163660.12|ENSG00000221978.13|ENSG00000163660.12
AT2G26460,SMU2,3158431at2759,
AT2G26480,UGT76D1,266768at2759,
AT2G26500,PetM,803716at2759,
AT2G26540,ATDUF3|ATUROS|DUF3|HEMD|UROS,5003731at2759,
AT2G26560,PLA|PLA2A|PLAII|PLP2,451544at2759,
AT2G26590,RPN13,4427187at2759,ENSG00000130706.13|ENSG00000130706.13
AT2G26660,ATSPX2|SPX2,2605152at2759,
AT2G26670,ATHO1|GUN2|HO1|HY1|HY6|TED4,4999820at2759,
AT2G26695,,793804at2759,
AT2G26700,AGC1-10|PID2,672627at2759,
AT2G26710,BAS1|CYP72B1|CYP734A1,587219at2759,
AT2G26720,,334751at2759,
AT2G26730,,693864at2759,
AT2G26830,CEK4|emb1187,4846626at2759,
AT2G26840,MOC1,222175at2759,
AT2G26870,NPC2,258773at2759,
AT2G26900,BASS2,414576at2759,ENSG00000253598.3|ENSG00000145283.8|ENSG00000145283.8|ENSG00000253598.3|ENSG00000125255.7
AT2G26910,ABCG32|AtABCG32|ATPDR4|PDR4|PEC1,623441at2759,
AT2G26930,ATCDPMEK|CDPMEK|CMEK|CMK|ISPE|PDE277,5004576at2759,
AT2G26970,,5014679at2759,ENSG00000076043.11|ENSG00000076043.11
AT2G26990,ATCSN2|COP12|CSN2|FUS12,4928762at2759,ENSG00000166200.15|ENSG00000166200.15
AT2G27020,PAG1,352891at2759,ENSG00000100567.13|ENSG00000100567.13
AT2G27030,ACAM-2|CAM5,274517at2759,
AT2G27035,AtENODL20|ENODL20,88509at2759,
AT2G27100,SE|SERRATE,804816at2759,
AT2G27180,,103236at2759,
AT2G27230,LHW,417776at2759,
AT2G27260,,414274at2759,
AT2G27285,,4945443at2759,ENSG00000126653.18|ENSG00000126653.18
AT2G27330,,306216at2759,
AT2G27370,CASP3,678179at2759,
AT2G27385,,323859at2759,
AT2G27389,,338413at2759,
AT2G27460,AtSEC23D,5004504at2759,ENSG00000150961.15|ENSG00000176986.16|ENSG00000138802.11|ENSG00000113615.13|ENSG00000138802.11|ENSG00000113615.13
AT2G27500,,489515at2759,
AT2G27510,ATFD3|FD3,754555at2759,
AT2G27530,PGY1|uL1y,5013275at2759,
AT2G27550,ATC,695290at2759,
AT2G27580,SAP3,191578at2759,
AT2G27600,ATSKD1|SKD1|VPS4,4887614at2759,ENSG00000132612.16|ENSG00000119541.10|ENSG00000132612.16|ENSG00000119541.10
AT2G27670,,751499at2759,
AT2G27690,CYP94C1,2174516at2759,
AT2G27720,P2z,4944201at2759,ENSG00000177600.9|ENSG00000177600.9
AT2G27770,,222222at2759,
AT2G27800,,481559at2759,
AT2G27900,,5016622at2759,ENSG00000004766.17|ENSG00000004766.17
AT2G27930,,5005822at2759,
AT2G27940,ATL57,408571at2759,
AT2G27950,,669898at2759,
AT2G27960,CKS1|CKS1AT,4971826at2759,ENSG00000173207.13|ENSG00000123975.5|ENSG00000173207.13|ENSG00000123975.5
AT2G27970,CKS2,4971826at2759,ENSG00000173207.13|ENSG00000123975.5|ENSG00000173207.13|ENSG00000123975.5
AT2G28000,ARC2|CH-CPN60A|CPN60A|Cpn60alpha1|CPNA1|SLP,784521at2759,
AT2G28060,KINbeta3,649275at2759,ENSG00000111725.11|ENSG00000131791.8|ENSG00000131791.8|ENSG00000111725.11
AT2G28070,ABCG3,723696at2759,
AT2G28100,ATFUC1|FUC1,515775at2759,
AT2G28105,,189946at2759,
AT2G28150,SOK3,637104at2759,
AT2G28160,ATBHLH029|ATBHLH29|ATFIT1|BHLH029|FIT|FIT1|FRU,512432at2759,
AT2G28190,AtSOD2|CSD2|CZSOD2|SOD2,801991at2759,ENSG00000142168.15|ENSG00000142168.15
AT2G28200,,687841at2759,
AT2G28210,ACA2|ATACA2,5002160at2759,
AT2G28230,MED20|MED20A,348069at2759,
AT2G28260,ATCNGC15|CNGC15,4782124at2759,
AT2G28270,,509157at2759,
AT2G28305,ATLOG1|LOG1,5004212at2759,
AT2G28310,,6992at2759,
AT2G28315,UXT1,516269at2759,ENSG00000175782.11|ENSG00000175782.11
AT2G28320,,593183at2759,
AT2G28370,CASPL5A2,203738at2759,
AT2G28410,,493509at2759,
AT2G28430,,392062at2759,
AT2G28480,,333845at2759,
AT2G28540,NOT4C,273528at2759,
AT2G28550,RAP2.7|TOE1,669155at2759,
AT2G28560,ATRAD51B|RAD51B,791789at2759,ENSG00000182185.19|ENSG00000108384.16|ENSG00000182185.19
AT2G28570,,345154at2759,
AT2G28600,,670023at2759,
AT2G28620,RSW7,5019158at2759,ENSG00000138160.7|ENSG00000138160.7
AT2G28650,ATEXO70H8|EXO70H8,633365at2759,
AT2G28660,AtHMP18,656471at2759,
AT2G28670,ESB1,346177at2759,
AT2G28690,,94231at2759,
AT2G28710,,4765882at2759,ENSG00000166478.10|ENSG00000065029.15|ENSG00000179965.12|ENSG00000169957.10|ENSG00000065029.15|ENSG00000166478.10|ENSG00000169957.10
AT2G28720,HTB3,4685703at2759,
AT2G28755,,298042at2759,
AT2G28760,UXS6,271802at2759,
AT2G28780,,542472at2759,
AT2G28790,,6598at2759,
AT2G28800,ALB3,802746at2759,
AT2G28810,,94409at2759,
AT2G28870,SMR10,520975at2759,
AT2G28900,ATOEP16-1|ATOEP16-L|OEP16|OEP16-1,535179at2759,
AT2G28930,APK1B|PBL10|PK1B,788495at2759,
AT2G28950,ATEXP6|ATEXPA6|ATHEXP|EXPA6,1873865at2759,
AT2G29050,ATRBL1|RBL1,751505at2759,
AT2G29070,,676568at2759,ENSG00000070010.19|ENSG00000070010.19
AT2G29080,AtFTSH3|FTSH3,3161539at2759,ENSG00000197912.16|ENSG00000141385.12|ENSG00000197912.16|ENSG00000141385.12
AT2G29110,ATGLR2.8|GLR2.8,459990at2759,
AT2G29125,DVL13|RTFL2,102534at2759,
AT2G29260,,4837427at2759,
AT2G29290,DEG14,4837427at2759,
AT2G29360,,4837427at2759,
AT2G29400,PP1-AT|TOPP1,135702at2759,
AT2G29470,ATGSTU3|GST21|GSTU3,260656at2759,
AT2G29485,,357298at2759,
AT2G29500,HSP17.6B,659061at2759,
AT2G29530,AtTIM10|TIM10,4803848at2759,ENSG00000134809.9|ENSG00000134809.9
AT2G29550,TBB7|TUB7,782766at2759,
AT2G29560,ENO3|ENOC,4999290at2759,ENSG00000111674.9|ENSG00000108515;ENSG00000108515.18|ENSG00000074800.16|ENSG00000074800.16|ENSG00000111674.9|ENSG00000108515.18
AT2G29570,ATPCNA2|PCNA2,316342at2759,ENSG00000132646.11|ENSG00000132646.11
AT2G29580,AtC3H25|MAC5B,4999771at2759,ENSG00000086589.12|ENSG00000086589.12
AT2G29590,,164807at2759,
AT2G29660,,665092at2759,
AT2G29670,,653865at2759,
AT2G29700,ATPH1|PH1,4903269at2759,ENSG00000008256.16|ENSG00000100055.21|ENSG00000108669.17|ENSG00000105443.17|ENSG00000105443.17|ENSG00000100055.21
AT2G29760,OTP81|QED1,188395at2759,
AT2G29960,ATCYP5|CYP19-4|CYP5,5014046at2759,
AT2G29980,AtFAD3|FAD3,429320at2759,
AT2G29995,,195489at2759,
AT2G30010,TBL45,673166at2759,
AT2G30020,AP2C1,5017799at2759,ENSG00000100034.14|ENSG00000100034.14
AT2G30050,,1362897at2759,ENSG00000157020.18|ENSG00000085415.16|ENSG00000157020.18|ENSG00000085415.16
AT2G30060,,5015957at2759,ENSG00000099901.17|ENSG00000099901.17
AT2G30070,ATKT1|ATKT1P|ATKUP1|KT1|KUP1,591574at2759,
AT2G30080,ATZIP6|ZIP6,5016471at2759,
AT2G30090,,627709at2759,
AT2G30130,ASL5|LBD12|PCK1,505512at2759,
AT2G30150,,476194at2759,
AT2G30170,AtPP2C26|PBCP,5016666at2759,
AT2G30210,LAC3,4495752at2759,
AT2G30230,,495144at2759,
AT2G30330,BLOS1,4365805at2759,ENSG00000135441.8|ENSG00000135441.8
AT2G30340,LBD13,679408at2759,
AT2G30360,CIPK11|PKS5|SIP4|SNRK3.22,4925430at2759,
AT2G30370,AtEPFL6|CHAL|EPFL6,197463at2759,
AT2G30390,ATFC-II|FC-II|FC2,648325at2759,ENSG00000066926.13|ENSG00000066926.13
AT2G30395,ATOFP17|OFP17,321165at2759,
AT2G30440,Plsp2B|TPP,498493at2759,
AT2G30460,UXT2,516269at2759,ENSG00000175782.11|ENSG00000175782.11
AT2G30530,MadA4,688019at2759,
AT2G30550,DALL3,748905at2759,
AT2G30570,PSBW,792911at2759,
AT2G30580,AtDRIP2|BMI1A|DRIP2,5024558at2759,ENSG00000115289.14|ENSG00000115289.14
AT2G30695,,666243at2759,
AT2G30710,,5015066at2759,ENSG00000065491.8|ENSG00000054611.14|ENSG00000065491.8|ENSG00000054611.14
AT2G30750,CYP71A12,295830at2759,
AT2G30766,FEP1|IMA3,337800at2759,
AT2G30800,ATVT-1|HVT1,493770at2759,
AT2G30830,,369773at2759,
AT2G30860,ATGSTF7|ATGSTF9|GLUTTR|GSTF9,669722at2759,
AT2G30870,ATGSTF10|ATGSTF4|ERD13|GSTF10,669722at2759,
AT2G30880,AtSWAP70|SWAP70,187584at2759,
AT2G30920,ATCOQ3|COQ3|EMB3002,2596411at2759,ENSG00000132423.12
AT2G30950,FTSH2|VAR2,5000031at2759,
AT2G30980,ASKdZeta|ATSK2-2|ATSK23|BIL1|SKdZeta,5002737at2759,
AT2G30990,,652045at2759,
AT2G31010,,374096at2759,
AT2G31060,EMB2785,5004172at2759,
AT2G31082,CLE7,320560at2759,
AT2G31083,AtCLE5|CLE5,320560at2759,
AT2G31085,AtCLE6|CLE6,320560at2759,
AT2G31110,TBL40,104622at2759,
AT2G31130,,486795at2759,
AT2G31140,AtIMP2,590921at2759,
AT2G31160,LSH3|OBO1,326892at2759,
AT2G31170,FIONA|SYCO,5018139at2759,ENSG00000110619.18;ENSG00000278191.4|ENSG00000134905.17|ENSG00000110619.18;ENSG00000278191.4|ENSG00000134905.17
AT2G31260,APG9|ATAPG9|ATG9,4812157at2759,ENSG00000198925.12|ENSG00000181652.20|ENSG00000198925.12
AT2G31290,,292668at2759,
AT2G31335,CTNIP3|SCREW4,332241at2759,
AT2G31345,CTNIP4|SCREW2,394313at2759,
AT2G31350,GLX2-5|GLXII.5,4877988at2759,ENSG00000063854.13|ENSG00000103253.19|ENSG00000063854.13|ENSG00000103253.19
AT2G31360,ADS2|AtADS2,4999655at2759,
AT2G31380,BBX25|STH,537055at2759,
AT2G31390,FRK1|FRK2,4852307at2759,
AT2G31400,GUN1,52100at2759,
AT2G31410,,679770at2759,
AT2G31420,,332099at2759,
AT2G31440,APH-1,329071at2759,
AT2G31480,,655720at2759,
AT2G31510,ARI7|ATARI7,5012988at2759,
AT2G31540,,381908at2759,
AT2G31560,,666727at2759,
AT2G31570,ATGPX2|GPX2|GPXL2,5004621at2759,ENSG00000116157.6|ENSG00000176153.13|ENSG00000233276.9|ENSG00000211445.13|ENSG00000164294.14|ENSG00000198704.10;ENSG00000281185.1|ENSG00000224586.7;ENSG00000257770.5|ENSG00000167468.20|ENSG00000116157.6|ENSG00000233276.9|ENSG00000164294.14|ENSG00000224586.7;ENSG00000257770.5|ENSG00000198704.10|ENSG00000176153.13|ENSG00000167468.20
AT2G31580,ICA1,4808329at2759,ENSG00000113272.14|ENSG00000113272.14
AT2G31600,,550157at2759,
AT2G31610,uS3z,4999880at2759,ENSG00000149273.15|ENSG00000149273.15
AT2G31660,EMA1|GIR1|SAD2|URM9,4971879at2759,ENSG00000133704.10|ENSG00000205339.10|ENSG00000205339.10|ENSG00000133704.10
AT2G31670,UP3,4890336at2759,
AT2G31680,AtRABA5d|RABA5d,35153at2759,
AT2G31700,,358701at2759,
AT2G31710,,611713at2759,
AT2G31725,,4906945at2759,ENSG00000035141.9|ENSG00000035141.9
AT2G31730,,593732at2759,
AT2G31740,,742278at2759,ENSG00000284753.2
AT2G31810,AHASS1|AIP1,4822207at2759,
AT2G31820,,718954at2759,
AT2G31830,5PTase14,320484at2759,
AT2G31865,atPARG2|PARG2,5015694at2759,ENSG00000227345.9|ENSG00000227345.9
AT2G31870,atPARG1|PARG1|TEJ,5015694at2759,ENSG00000227345.9|ENSG00000227345.9
AT2G31880,EVR|SOBIR1,661742at2759,ENSG00000122477.13|ENSG00000122477.13
AT2G31890,ATRAP|RAP,791217at2759,
AT2G31900,ATMYO5|ATXIF|XIF,5001857at2759,
AT2G31920,CORD7,119762at2759,
AT2G31930,,245223at2759,
AT2G31940,,674615at2759,
AT2G31945,,692605at2759,
AT2G31955,CNX2,5015625at2759,ENSG00000124615.20|ENSG00000124615.20
AT2G31960,ATGSL03|ATGSL3|GSL03,954229at2759,
AT2G31970,ATRAD50|RAD50,609510at2759,
AT2G31980,AtCYS2|CYS2,176908at2759,
AT2G31985,,608652at2759,
AT2G32010,CVL1,769829at2759,
AT2G32020,,4622145at2759,
AT2G32030,,4622145at2759,
AT2G32040,,4778626at2759,
AT2G32060,eS12y,535743at2759,ENSG00000112306.8|ENSG00000112306.8
AT2G32080,PUR,4533447at2759,ENSG00000146676.10|ENSG00000185129.8|ENSG00000172733;ENSG00000172733.12|ENSG00000185129.8|ENSG00000146676.10|ENSG00000172733.12
AT2G32130,CHIQL7,546663at2759,
AT2G32190,AthCYSTM4,260029at2759,
AT2G32200,AthCYSTM5,260029at2759,
AT2G32210,AthCYSTM6,260029at2759,
AT2G32220,eL27z,4916181at2759,ENSG00000131469.15|ENSG00000131469.15
AT2G32230,PRORP1,4843081at2759,
AT2G32235,,450457at2759,
AT2G32240,PICC,412680at2759,
AT2G32260,ATCCT1|CCT1,543718at2759,ENSG00000161217.12|ENSG00000102230.14|ENSG00000185813.11|ENSG00000161217.12|ENSG00000183979.8|ENSG00000102230.14
AT2G32270,ZIP3,5016471at2759,
AT2G32280,VCC,219793at2759,
AT2G32300,UCC1,664312at2759,
AT2G32370,HDG3,269911at2759,
AT2G32380,,4838350at2759,
AT2G32410,AXL|AXL1,4906318at2759,ENSG00000159593.15|ENSG00000159593.15
AT2G32415,AtRRP6L3|RRP6L3,4845692at2759,
AT2G32440,ATKAO2|CYP88A4|KAO2,640881at2759,
AT2G32500,,586523at2759,
AT2G32510,MAPKKK17,670427at2759,
AT2G32560,,233946at2759,
AT2G32580,ELMO1,204884at2759,
AT2G32600,,5000824at2759,ENSG00000104897.10|ENSG00000104897.10
AT2G32690,ATGRP23|GRP23,347445at2759,
AT2G32710,ACK2|ICK7|KRP4,633288at2759,
AT2G32720,ATCB5-B|B5|CB5-B|CYTB5-D,667223at2759,
AT2G32730,,4911644at2759,ENSG00000173692.14|ENSG00000173692.14
AT2G32750,,4445803at2759,
AT2G32760,USL1|VPS38,112050at2759,
AT2G32765,ATSUMO5|SUM5|SUMO5,265555at2759,
AT2G32830,PHT1;5|PHT5,4820964at2759,
AT2G32840,LIN37B,671536at2759,
AT2G32920,ATPDI9|ATPDIL2-3|PDI9|PDIL2-3,633605at2759,
AT2G32930,AtC3H26|ZFN2,4822122at2759,ENSG00000160201.12|ENSG00000161265.15|ENSG00000160201.12
AT2G32950,ATCOP1|COP1|DET340|EMB168|FUS1,4267669at2759,ENSG00000143207.21
AT2G33040,ATP3,4982376at2759,
AT2G33060,AtRLP27|RLP27,546940at2759,
AT2G33120,ATVAMP722|SAR1|VAMP722,741905at2759,
AT2G33130,RALF18|RALFL18,309368at2759,
AT2G33150,KAT2|PED1|PKT3,537735at2759,
AT2G33180,,4841649at2759,
AT2G33260,,655442at2759,
AT2G33280,CLO3,558989at2759,
AT2G33300,,324614at2759,
AT2G33310,IAA13,294243at2759,
AT2G33320,,164136at2759,
AT2G33360,,629449at2759,
AT2G33390,,687780at2759,
AT2G33410,RBGD2,687858at2759,
AT2G33450,bL28c|PRPL28,5004938at2759,
AT2G33460,RIC1,681124at2759,
AT2G33470,ATGLTP1|GLTP1,5006340at2759,ENSG00000106086.20|ENSG00000139433.11|ENSG00000106086.20|ENSG00000139433.11
AT2G33480,ANAC041|NAC041,318801at2759,
AT2G33500,BBX12,60163at2759,
AT2G33550,ASR3,673526at2759,
AT2G33560,BUBR1,4692412at2759,ENSG00000156970.13|ENSG00000156970.13
AT2G33570,GALS1,605993at2759,
AT2G33580,AtLYK5|LYK5,696952at2759,
AT2G33585,,144585at2759,
AT2G33590,AtCRL1|CRL1,2042608at2759,
AT2G33600,AtCRL2|CRL2,2042608at2759,
AT2G33610,ATSWI3B|CHB2|SWI3B,659316at2759,
AT2G33620,AHL10,662758at2759,
AT2G33630,,322144at2759,ENSG00000184860.10|ENSG00000183921.8|ENSG00000183921.8|ENSG00000184860.10
AT2G33640,PAT21,762875at2759,
AT2G33680,GEND1|RID4,613414at2759,
AT2G33700,PP2CG1,5017799at2759,ENSG00000100034.14|ENSG00000100034.14
AT2G33710,,243402at2759,
AT2G33730,SMA1,531716at2759,ENSG00000174243.11|ENSG00000174243.11
AT2G33750,ATPUP2|PUP2,723770at2759,
AT2G33760,,188395at2759,
AT2G33810,SPL3,767665at2759,
AT2G33830,AtDRM2|DAP2|DRM2,75556at2759,
AT2G33840,,2606508at2759,ENSG00000134684.13|ENSG00000164022.18|ENSG00000134684.13|ENSG00000164022.18
AT2G33845,,323589at2759,
AT2G33855,,678070at2759,
AT2G33860,ARF3|ETT,225700at2759,
AT2G33880,HB-3|STIP|WOX9|WOX9A,691692at2759,
AT2G33990,iqd9,302242at2759,
AT2G34010,TIE4,316324at2759,
AT2G34050,P11,786165at2759,
AT2G34060,,640662at2759,
AT2G34070,TBL37,104622at2759,
AT2G34090,MEE18,4843010at2759,
AT2G34100,,327836at2759,
AT2G34150,ATRANGAP2|ATSCAR1|SCAR1|WAVE1,91885at2759,
AT2G34170,DEG21,151164at2759,
AT2G34180,ATWL2|CIPK13|SnRK3.7|WL2,305118at2759,
AT2G34186,,348075at2759,
AT2G34190,,227017at2759,
AT2G34200,,343992at2759,
AT2G34224,,349037at2759,
AT2G34238,,256131at2759,
AT2G34250,,4970030at2759,ENSG00000065665.21|ENSG00000058262.11|ENSG00000058262.11|ENSG00000065665.21
AT2G34300,,524414at2759,
AT2G34310,,341745at2759,
AT2G34315,,331212at2759,
AT2G34317,,331212at2759,
AT2G34325,,357214at2759,
AT2G34340,,791935at2759,
AT2G34355,,4810817at2759,
AT2G34380,SEIPIN3,5019596at2759,ENSG00000168000;ENSG00000168000.16|ENSG00000168000.16
AT2G34400,,640776at2759,
AT2G34410,RWA3,4841034at2759,ENSG00000127995.17|ENSG00000127995.17
AT2G34420,LHB1B2|LHCB1.5,611908at2759,
AT2G34430,DEG11|LHB1B1|LHCB1.4,611908at2759,
AT2G34440,AGL29,691972at2759,
AT2G34450,,449738at2759,
AT2G34460,,4776505at2759,
AT2G34470,PSKF109|UREG,800789at2759,
AT2G34480,eL20y|L18aB|RPL18aB,3837426at2759,ENSG00000105640.13|ENSG00000105640.13
AT2G34500,CYP710A1,5013255at2759,
AT2G34560,AtCCP1|CCP1,4940493at2759,ENSG00000167216.19|ENSG00000167216.19
AT2G34585,,503766at2759,
AT2G34590,,4999514at2759,
AT2G34600,JAZ7|TIFY5B,100205at2759,
AT2G34630,GPPS|GPS1,785064at2759,
AT2G34640,HMR|PAP5|PTAC12|TAC12,396177at2759,
AT2G34710,ATHB-14|ATHB14|PHB|PHB-1D,219954at2759,
AT2G34720,NF-YA4,96999at2759,
AT2G34770,ATFAH1|FAH1,4934696at2759,
AT2G34830,ABT2|AtWRKY35|MEE24|WRKY35,663580at2759,
AT2G34860,EDA3|PSA2,791763at2759,
AT2G34900,GTE01|GTE1|IMB1,65689at2759,
