human_ensembl,Arabidopsis thaliana,Caenorhabditis elegans,Drosophila melanogaster,Mus musculus,Saccharomyces cerevisiae,n_species
ENSG00000121570,,,,ENSMUSG00000058550,,1
ENSG00000121577,,,FBgn0031150,ENSMUSG00000022803,,2
ENSG00000121578,,WBGene00000269,FBgn0027538,ENSMUSG00000022793,,3
ENSG00000121579,,WBGene00018238,FBgn0024188,ENSMUSG00000022698,YOR253W,4
ENSG00000121594,,,,ENSMUSG00000075122,,1
ENSG00000121621,AT3G16060,,FBgn0004379,ENSMUSG00000027115,YGL216W,4
ENSG00000121634,,,,ENSMUSG00000049908,,1
ENSG00000121644,,WBGene00018090,FBgn0033551,ENSMUSG00000026502,,3
ENSG00000121653,,,FBgn0040281,ENSMUSG00000027223,,2
ENSG00000121671,,,FBgn0016054,ENSMUSG00000068742,YOR386W,3
ENSG00000121680,,,FBgn0037019,ENSMUSG00000027222,,2
ENSG00000121690,,WBGene00002368,,ENSMUSG00000027173,,2
ENSG00000121691,AT1G20630,WBGene00000830,FBgn0000261,ENSMUSG00000027187,YDR256C,5
ENSG00000121716,,,,ENSMUSG00000066682,,1
ENSG00000121741,,,FBgn0010328,ENSMUSG00000021945,,2
ENSG00000121742,,,,ENSMUSG00000040055,,1
ENSG00000121743,,,,ENSMUSG00000048582,,1
ENSG00000121749,,WBGene00008444,FBgn0031233,ENSMUSG00000020130,YDL234C,4
ENSG00000121753,,,,ENSMUSG00000028782,,1
ENSG00000121764,,,,ENSMUSG00000028778,,1
ENSG00000121766,,,,ENSMUSG00000028772,,1
ENSG00000121769,,WBGene00002259,FBgn0037913,ENSMUSG00000028773,,3
ENSG00000121774,,,FBgn0022985,ENSMUSG00000028790,,2
ENSG00000121775,,WBGene00017003,FBgn0033899,ENSMUSG00000053730,,3
ENSG00000121797,,,,ENSMUSG00000043953,,1
ENSG00000121807,,,,ENSMUSG00000049103,,1
ENSG00000121851,,WBGene00021638,FBgn0053051,ENSMUSG00000028104,,3
ENSG00000121853,,WBGene00016747,FBgn0037100,ENSMUSG00000051136,,3
ENSG00000121858,,,,ENSMUSG00000039304,,1
ENSG00000121864,,,,ENSMUSG00000027667,,1
ENSG00000121871,,,,ENSMUSG00000048304,,1
ENSG00000121879,,WBGene00000090,FBgn0015279,ENSMUSG00000027665,,3
ENSG00000121892,,WBGene00001352,FBgn0260012,ENSMUSG00000029202,YMR076C,4
ENSG00000121895,,,,ENSMUSG00000037913,,1
ENSG00000121897,,WBGene00010809,FBgn0029158,ENSMUSG00000029199,YOR196C,4
ENSG00000121898,,WBGene00001189,,ENSMUSG00000030862,,2
ENSG00000121900,,,,ENSMUSG00000028786,,1
ENSG00000121903,,,,ENSMUSG00000061894,,1
ENSG00000121904,,,,ENSMUSG00000028804,,1
ENSG00000121905,,WBGene00003564,FBgn0036926,ENSMUSG00000028785,YDR373W,4
ENSG00000121931,,,,ENSMUSG00000056260,,1
ENSG00000121933,,,,ENSMUSG00000074344,,1
ENSG00000121940,,,,ENSMUSG00000027884,,1
ENSG00000121957,,WBGene00000092,FBgn0040080,ENSMUSG00000027883,,3
ENSG00000121964,,,FBgn0030700,ENSMUSG00000036890,,2
ENSG00000121966,,,,ENSMUSG00000045382,,1
ENSG00000121988,,,,ENSMUSG00000036086,,1
ENSG00000121989,,WBGene00000900,FBgn0003169,ENSMUSG00000052155,,3
ENSG00000122008,,WBGene00017696,,ENSMUSG00000021668,,2
ENSG00000122012,,,FBgn0029896,ENSMUSG00000051111,,2
ENSG00000122025,,WBGene00002199,,ENSMUSG00000042817,,2
ENSG00000122026,,WBGene00004433,FBgn0032987,ENSMUSG00000041453,YPL079W,4
ENSG00000122033,,,FBgn0033712,ENSMUSG00000016510,,2
ENSG00000122034,,,FBgn0030787,ENSMUSG00000016503,,2
ENSG00000122035,,,FBgn0035711,ENSMUSG00000029641,,2
ENSG00000122042,,WBGene00008121,FBgn0026076,ENSMUSG00000001687,,3
ENSG00000122068,,,,ENSMUSG00000022800,,1
ENSG00000122085,,WBGene00010771,FBgn0031419,ENSMUSG00000026273,,3
ENSG00000122121,,WBGene00000155,FBgn0038072,ENSMUSG00000037005,YLL029W,4
ENSG00000122122,,,FBgn0051163,ENSMUSG00000031101,,2
ENSG00000122126,,WBGene00007620,FBgn0023508,ENSMUSG00000001173,,3
ENSG00000122136,,,,ENSMUSG00000062061,,1
ENSG00000122140,,WBGene00020718,FBgn0031639,ENSMUSG00000035772,YHL004W,4
ENSG00000122176,,,,ENSMUSG00000041559,,1
ENSG00000122180,,WBGene00001948,FBgn0002922,ENSMUSG00000026459,,3
ENSG00000122188,,,,ENSMUSG00000051998,,1
ENSG00000122194,,WBGene00006619,,ENSMUSG00000059481,,2
ENSG00000122203,,,,ENSMUSG00000025871,,1
ENSG00000122218,AT2G21390,WBGene00022119,FBgn0025725,ENSMUSG00000026553,YDL145C,5
ENSG00000122223,,,,ENSMUSG00000004709,,1
ENSG00000122224,,,,ENSMUSG00000004707,,1
ENSG00000122254,,WBGene00044303,FBgn0031005,ENSMUSG00000046321,,3
ENSG00000122257,,,FBgn0086129,ENSMUSG00000030779,YKL059C,3
ENSG00000122299,,,,ENSMUSG00000037965,,1
ENSG00000122335,,WBGene00008925,FBgn0032699,ENSMUSG00000015659,,3
ENSG00000122359,,WBGene00003589,FBgn0000083,ENSMUSG00000021866,,3
ENSG00000122367,,,FBgn0265991,ENSMUSG00000021798,,2
ENSG00000122375,,,FBgn0019940,ENSMUSG00000021799,,2
ENSG00000122376,,,,ENSMUSG00000041471,,1
ENSG00000122378,,WBGene00011274,,ENSMUSG00000021792,,2
ENSG00000122386,,,,ENSMUSG00000062012,,1
ENSG00000122390,,WBGene00009277,FBgn0036039,ENSMUSG00000005982,,3
ENSG00000122406,AT5G39740,WBGene00004416,FBgn0064225,ENSMUSG00000058558,YPL131W,5
ENSG00000122417,,,,ENSMUSG00000028256,,1
ENSG00000122420,,,FBgn0036742,ENSMUSG00000028036,,2
ENSG00000122432,,,,ENSMUSG00000028188,,1
ENSG00000122435,,WBGene00013026,FBgn0037435,ENSMUSG00000033439,YOL125W,4
ENSG00000122477,AT2G31880,,,ENSMUSG00000027961,,2
ENSG00000122481,,,FBgn0050338,ENSMUSG00000028133,,2
ENSG00000122482,,,,ENSMUSG00000049606,,1
ENSG00000122483,,,,ENSMUSG00000056531,,1
ENSG00000122484,,WBGene00011143,FBgn0085212,ENSMUSG00000033773,YDR066C,4
ENSG00000122490,,WBGene00011827,FBgn0031897,ENSMUSG00000034006,YMR010W,4
ENSG00000122507,,WBGene00016744,FBgn0034622,ENSMUSG00000035919,,3
ENSG00000122512,,WBGene00004064,FBgn0011660,ENSMUSG00000079109,YNL082W,4
ENSG00000122515,,WBGene00011259,FBgn0026160,ENSMUSG00000041164,YOR156C,4
ENSG00000122543,,,,ENSMUSG00000029618,,1
ENSG00000122545,,WBGene00006793,FBgn0013726,ENSMUSG00000001833,YLR314C,4
ENSG00000122547,,,,ENSMUSG00000036611,,1
ENSG00000122550,,,FBgn0038475,ENSMUSG00000028986,,2
ENSG00000122557,,WBGene00009112,FBgn0031950,ENSMUSG00000008429,,3
ENSG00000122565,,WBGene00001995,FBgn0030082,ENSMUSG00000029836,,3
ENSG00000122566,,WBGene00001999,FBgn0001215,ENSMUSG00000004980,,3
ENSG00000122574,,,,ENSMUSG00000086040,,1
ENSG00000122584,,,,ENSMUSG00000046178,,1
ENSG00000122585,,,,ENSMUSG00000029819,,1
ENSG00000122591,,WBGene00017037,FBgn0034269,ENSMUSG00000028995,,3
ENSG00000122592,,,FBgn0260642,ENSMUSG00000038236,,2
ENSG00000122641,,,FBgn0024913,ENSMUSG00000041324,,2
ENSG00000122642,,WBGene00001429,,ENSMUSG00000029781,,2
ENSG00000122643,,WBGene00017775,FBgn0034988,ENSMUSG00000029780,,3
ENSG00000122644,,,FBgn0039889,ENSMUSG00000047446,,2
ENSG00000122674,,WBGene00010283,FBgn0035470,ENSMUSG00000029617,,3
ENSG00000122678,,,,ENSMUSG00000020474,,1
ENSG00000122679,,,,ENSMUSG00000041046,,1
ENSG00000122687,,WBGene00009735,FBgn0038737,ENSMUSG00000029557,YGL136C,4
ENSG00000122691,,WBGene00001953,FBgn0003900,ENSMUSG00000035799,,3
ENSG00000122692,,WBGene00004895,FBgn0038666,ENSMUSG00000028409,,3
ENSG00000122694,AT4G33730,WBGene00008604,FBgn0051482,ENSMUSG00000028480,YJL079C,5
ENSG00000122696,,WBGene00011858,FBgn0039741,ENSMUSG00000045973,,3
ENSG00000122705,,WBGene00020246,FBgn0024814,ENSMUSG00000028478,,3
ENSG00000122707,,,FBgn0036463,ENSMUSG00000028476,,2
ENSG00000122711,,,,ENSMUSG00000028415,,1
ENSG00000122728,,WBGene00006382,FBgn0010355,ENSMUSG00000031314,YGR274C,4
ENSG00000122729,AT4G35830,WBGene00000040,FBgn0024958,ENSMUSG00000028405,,4
ENSG00000122733,,,,ENSMUSG00000036062,,1
ENSG00000122735,,,FBgn0034566,ENSMUSG00000061322,,2
ENSG00000122741,,,FBgn0039601,ENSMUSG00000035572,,2
ENSG00000122756,,,,ENSMUSG00000028444,,1
ENSG00000122778,,,,ENSMUSG00000063455,,1
ENSG00000122779,,,FBgn0023097,ENSMUSG00000029833,,2
ENSG00000122783,,,,ENSMUSG00000046806,,1
ENSG00000122786,,,,ENSMUSG00000029761,,1
ENSG00000122787,,WBGene00012722,FBgn0086254,ENSMUSG00000038641,YOR120W,4
ENSG00000122824,,WBGene00022366,FBgn0036111,ENSMUSG00000073293,YOR163W,4
ENSG00000122852,,,,ENSMUSG00000021789,,1
ENSG00000122859,,WBGene00003595,FBgn0015550,ENSMUSG00000044312,,3
ENSG00000122861,,,,ENSMUSG00000021822,,1
ENSG00000122862,,,,ENSMUSG00000020077,,1
ENSG00000122863,,,FBgn0031826,ENSMUSG00000057337,,2
ENSG00000122870,,WBGene00000246,FBgn0000182,ENSMUSG00000014329,,3
ENSG00000122873,,WBGene00044026,FBgn0062442,ENSMUSG00000037710,,3
ENSG00000122877,,WBGene00007772,FBgn0003499,ENSMUSG00000037868,,3
ENSG00000122882,,WBGene00008951,FBgn0000543,ENSMUSG00000021810,,3
ENSG00000122884,AT4G35810,WBGene00001077,FBgn0039776,ENSMUSG00000019916,,4
ENSG00000122912,AT1G14560,WBGene00009666,,ENSMUSG00000071253,YHR002W,4
ENSG00000122952,,,,ENSMUSG00000019923,,1
ENSG00000122958,AT5G53530,WBGene00006931,FBgn0014411,ENSMUSG00000020078,YJL053W,5
ENSG00000122965,,WBGene00004315,FBgn0036018,ENSMUSG00000029594,YPR112C,4
ENSG00000122966,,,FBgn0002466,ENSMUSG00000029516,,2
ENSG00000122970,,WBGene00017973,,ENSMUSG00000029469,,2
ENSG00000122971,,,FBgn0038742,ENSMUSG00000029545,,2
ENSG00000122986,,,,ENSMUSG00000064267,,1
ENSG00000123009,,WBGene00009119,FBgn0000150,,YKL067W,3
ENSG00000123064,,WBGene00022378,FBgn0052344,ENSMUSG00000029599,YDL031W,4
ENSG00000123066,,WBGene00002295,FBgn0003415,ENSMUSG00000018076,,3
ENSG00000123080,,,,ENSMUSG00000028551,,1
ENSG00000123091,AT3G16090,WBGene00007226,FBgn0052850,ENSMUSG00000028557,,4
ENSG00000123094,,WBGene00019403,FBgn0261986,ENSMUSG00000030259,,3
ENSG00000123095,,,FBgn0002609,ENSMUSG00000030256,,2
ENSG00000123096,,,FBgn0030360,ENSMUSG00000030255,,2
ENSG00000123104,,WBGene00002173,FBgn0010051,ENSMUSG00000030287,,3
ENSG00000123106,,,,ENSMUSG00000030301,,1
ENSG00000123119,,,,ENSMUSG00000040536,,1
ENSG00000123124,,WBGene00007009,FBgn0003557,ENSMUSG00000041058,,3
ENSG00000123130,,WBGene00019015,FBgn0039854,ENSMUSG00000047565,,3
ENSG00000123131,,WBGene00011110,FBgn0040308,ENSMUSG00000025289,YML028W,4
ENSG00000123136,,WBGene00001840,FBgn0014189,ENSMUSG00000005481,YDL084W,4
ENSG00000123143,,WBGene00009793,FBgn0020621,ENSMUSG00000057672,YBL105C,4
ENSG00000123144,,,FBgn0042132,ENSMUSG00000041203,,2
ENSG00000123146,,WBGene00002252,,ENSMUSG00000002885,,2
ENSG00000123154,,WBGene00018014,FBgn0028897,ENSMUSG00000005150,,3
ENSG00000123159,,WBGene00009681,FBgn0010504,ENSMUSG00000019433,,3
ENSG00000123178,,WBGene00008939,FBgn0038564,ENSMUSG00000021930,,3
ENSG00000123179,,,,ENSMUSG00000021928,,1
ENSG00000123191,,WBGene00000834,FBgn0030343,ENSMUSG00000006567,YDR270W,4
ENSG00000123200,,,,ENSMUSG00000022000,,1
ENSG00000123201,,WBGene00001552,,ENSMUSG00000021933,,2
ENSG00000123213,AT5G51540,WBGene00013997,FBgn0039252,ENSMUSG00000021710,YCL057W,5
ENSG00000123219,,,,ENSMUSG00000021714,,1
ENSG00000123240,,,FBgn0041205,ENSMUSG00000026672,,2
ENSG00000123243,,,,ENSMUSG00000025780,,1
ENSG00000123268,,WBGene00000793,FBgn0265784,ENSMUSG00000023027,,3
ENSG00000123297,,WBGene00010094,FBgn0032646,ENSMUSG00000040521,,3
ENSG00000123307,,,,ENSMUSG00000048015,,1
ENSG00000123329,,WBGene00008006,FBgn0030893,ENSMUSG00000040345,YOR127W,4
ENSG00000123338,,WBGene00001580,FBgn0011771,ENSMUSG00000022488,,3
ENSG00000123342,,WBGene00016283,FBgn0035049,ENSMUSG00000025355,,3
ENSG00000123349,AT5G23290,WBGene00020112,FBgn0038976,ENSMUSG00000001289,YML094W,5
ENSG00000123352,,WBGene00022114,,ENSMUSG00000051934,,2
ENSG00000123353,AT1G01230,,FBgn0037110,ENSMUSG00000025353,YLR350W,4
ENSG00000123358,,WBGene00003605,FBgn0014859,ENSMUSG00000023034,,3
ENSG00000123360,,WBGene00011433,FBgn0264815,ENSMUSG00000022489,,3
ENSG00000123364,,,,ENSMUSG00000001655,,1
ENSG00000123374,,WBGene00019362,FBgn0004107,ENSMUSG00000025358,YBR160W,4
ENSG00000123384,,WBGene00003072,FBgn0053087,ENSMUSG00000040249,,3
ENSG00000123388,,,,ENSMUSG00000001656,,1
ENSG00000123395,,WBGene00022078,FBgn0030960,ENSMUSG00000037204,,3
ENSG00000123405,,WBGene00020961,FBgn0262975,ENSMUSG00000058794,,3
ENSG00000123407,,,,ENSMUSG00000050328,,1
ENSG00000123411,,,,ENSMUSG00000002578,,1
ENSG00000123415,,,FBgn0038490,ENSMUSG00000036061,,2
ENSG00000123416,,WBGene00003175,FBgn0003884,ENSMUSG00000023004,YML085C,4
ENSG00000123427,AT1G73320,,,ENSMUSG00000080115,,2
ENSG00000123444,,,,ENSMUSG00000005505,,1
ENSG00000123453,,,FBgn0034276,ENSMUSG00000009614,,2
ENSG00000123454,,WBGene00006541,FBgn0010329,ENSMUSG00000000889,,3
ENSG00000123472,,,FBgn0022344,ENSMUSG00000028710,YNL315C,3
ENSG00000123473,,,,ENSMUSG00000028718,,1
ENSG00000123485,,,,ENSMUSG00000044783,,1
ENSG00000123496,,,,ENSMUSG00000031289,,1
ENSG00000123500,,,,ENSMUSG00000039462,,1
ENSG00000123505,AT3G02470,WBGene00004875,FBgn0019932,ENSMUSG00000075232,YOL052C,5
ENSG00000123545,,WBGene00007113,FBgn0037777,ENSMUSG00000028261,,3
ENSG00000123552,,,FBgn0029763,ENSMUSG00000040455,,2
ENSG00000123560,,WBGene00017437,FBgn0037092,ENSMUSG00000031425,,3
ENSG00000123561,,,FBgn0031973,ENSMUSG00000031271,,2
ENSG00000123562,,WBGene00003406,FBgn0027378,ENSMUSG00000031422,YPR023C,4
ENSG00000123570,,,FBgn0032782,ENSMUSG00000043463,,2
ENSG00000123572,,WBGene00003247,,ENSMUSG00000052854,,2
ENSG00000123575,,,,ENSMUSG00000042595,,1
ENSG00000123576,,,FBgn0030058,ENSMUSG00000023443,,2
ENSG00000123584,,,FBgn0037481,,,1
ENSG00000123595,,,FBgn0032782,ENSMUSG00000079316,,2
ENSG00000123600,,WBGene00044720,FBgn0035247,ENSMUSG00000041975,YOR239W,4
ENSG00000123607,,WBGene00022696,,ENSMUSG00000034848,,2
ENSG00000123609,,,,ENSMUSG00000026946,,1
ENSG00000123610,,,,ENSMUSG00000053475,,1
ENSG00000123612,,WBGene00000897,FBgn0011300,ENSMUSG00000026834,,3
ENSG00000123636,,WBGene00001470,,ENSMUSG00000026987,,2
ENSG00000123643,,WBGene00012804,FBgn0032036,ENSMUSG00000020261,YKL146W,4
ENSG00000123684,,WBGene00019465,,ENSMUSG00000026623,YBR042C,3
ENSG00000123685,,,FBgn0028550,ENSMUSG00000026630,,2
ENSG00000123689,,,,ENSMUSG00000009633,,1
ENSG00000123700,,WBGene00002149,FBgn0265042,ENSMUSG00000041695,,3
ENSG00000123728,,WBGene00004308,FBgn0283666,ENSMUSG00000050029,YGR152C,4
ENSG00000123737,AT3G12990,WBGene00018154,FBgn0030789,ENSMUSG00000027714,YDR280W,5
ENSG00000123739,,WBGene00016288,FBgn0036545,ENSMUSG00000027999,,3
ENSG00000123810,,WBGene00021416,FBgn0261683,ENSMUSG00000063439,,3
ENSG00000123815,,WBGene00000767,FBgn0052649,ENSMUSG00000003762,YGL119W,4
ENSG00000123836,,WBGene00019295,FBgn0027621,ENSMUSG00000026409,YJL155C,4
ENSG00000123838,,,,ENSMUSG00000026405,,1
ENSG00000123892,,WBGene00011083,FBgn0002567,ENSMUSG00000030559,,3
ENSG00000123901,,WBGene00006428,,ENSMUSG00000031932,,2
ENSG00000123908,,WBGene00000106,FBgn0262739,ENSMUSG00000036698,,3
ENSG00000123933,,WBGene00003163,,ENSMUSG00000037235,,2
ENSG00000123975,,WBGene00022162,FBgn0010314,ENSMUSG00000062248,YBR135W,4
ENSG00000123977,,,FBgn0039673,ENSMUSG00000053161,,2
ENSG00000123983,AT3G05970,WBGene00018152,FBgn0263120,ENSMUSG00000032883,YOR317W,5
ENSG00000123989,,WBGene00003253,FBgn0263005,ENSMUSG00000032997,,3
ENSG00000123992,AT5G04710,WBGene00017163,,ENSMUSG00000026209,YHR113W,4
ENSG00000123999,,,,ENSMUSG00000032968,,1
ENSG00000124003,,WBGene00010296,FBgn0033214,ENSMUSG00000012187,YOR245C,4
ENSG00000124006,,,,ENSMUSG00000026211,,1
ENSG00000124019,,,,ENSMUSG00000043230,,1
ENSG00000124067,,WBGene00019205,FBgn0261794,ENSMUSG00000017765,,3
ENSG00000124074,,,FBgn0033174,ENSMUSG00000013155,,2
ENSG00000124091,,WBGene00009148,,ENSMUSG00000074569,,2
ENSG00000124092,,,FBgn0035769,ENSMUSG00000070495,,2
ENSG00000124097,,WBGene00001972,FBgn0278608,,,2
ENSG00000124098,,,FBgn0031504,ENSMUSG00000027495,YGR147C,3
ENSG00000124103,,,,ENSMUSG00000027505,,1
ENSG00000124104,,,FBgn0031457,ENSMUSG00000050373,,2
ENSG00000124107,,,,ENSMUSG00000017002,,1
ENSG00000124116,,,FBgn0039527,ENSMUSG00000076434,,2
ENSG00000124120,,,FBgn0032783,ENSMUSG00000017679,,2
ENSG00000124126,,,,ENSMUSG00000039621,,1
ENSG00000124134,,WBGene00018402,,ENSMUSG00000040164,,2
ENSG00000124140,,WBGene00006504,FBgn0261794,ENSMUSG00000017740,,3
ENSG00000124143,,,FBgn0039994,ENSMUSG00000074625,,2
ENSG00000124145,,WBGene00004749,FBgn0010415,ENSMUSG00000017009,,3
ENSG00000124151,,,FBgn0041092,ENSMUSG00000027678,,2
ENSG00000124155,AT3G07140,WBGene00008918,FBgn0030035,ENSMUSG00000017721,YHR188C,5
ENSG00000124159,,WBGene00015865,,ENSMUSG00000016995,,2
ENSG00000124160,,,FBgn0024542,ENSMUSG00000039804,,2
ENSG00000124164,AT2G45140,WBGene00018008,FBgn0029687,ENSMUSG00000054455,YER120W,5
ENSG00000124171,,WBGene00003921,FBgn0026192,ENSMUSG00000044641,,3
ENSG00000124172,AT1G51650,WBGene00017982,FBgn0014391,ENSMUSG00000016252,YPL271W,5
ENSG00000124177,,WBGene00007053,FBgn0266557,ENSMUSG00000057133,,3
ENSG00000124181,,WBGene00004038,FBgn0003416,ENSMUSG00000016933,YPL268W,4
ENSG00000124191,,,,ENSMUSG00000074607,,1
ENSG00000124193,,WBGene00004699,FBgn0004587,ENSMUSG00000016921,,3
ENSG00000124194,,,FBgn0035587,ENSMUSG00000017943,,2
ENSG00000124196,,WBGene00020286,FBgn0036826,ENSMUSG00000070708,,3
ENSG00000124198,,WBGene00012386,FBgn0028538,ENSMUSG00000074582,YDR170C,4
ENSG00000124201,,WBGene00014208,FBgn0039165,ENSMUSG00000039501,,3
ENSG00000124203,,,,ENSMUSG00000050600,,1
ENSG00000124205,,,,ENSMUSG00000027524,,1
ENSG00000124207,,WBGene00002079,FBgn0022213,ENSMUSG00000002718,YGL238W,4
ENSG00000124208,,,,ENSMUSG00000089739,,1
ENSG00000124209,,,,ENSMUSG00000027519,,1
ENSG00000124212,,,,ENSMUSG00000017969,,1
ENSG00000124214,,WBGene00018857,FBgn0003520,ENSMUSG00000039536,,3
ENSG00000124215,,,,ENSMUSG00000039155,,1
ENSG00000124216,,WBGene00019299,FBgn0001981,ENSMUSG00000042821,,3
ENSG00000124217,AT5G55130,WBGene00018357,FBgn0032054,ENSMUSG00000074576,YHR111W,5
ENSG00000124222,AT3G05710,WBGene00022534,FBgn0031106,ENSMUSG00000027522,YOL018C,5
ENSG00000124225,,,,ENSMUSG00000038400,,1
ENSG00000124226,,,,ENSMUSG00000006418,,1
ENSG00000124228,,WBGene00022148,FBgn0021995,ENSMUSG00000017999,YLL008W,4
ENSG00000124232,,WBGene00002245,FBgn0004837,ENSMUSG00000017007,,3
ENSG00000124237,,,,ENSMUSG00000027518,,1
ENSG00000124243,,,FBgn0036105,,,1
ENSG00000124249,,WBGene00006318,FBgn0038165,ENSMUSG00000035238,YJL093C,4
ENSG00000124251,,,,ENSMUSG00000017720,,1
ENSG00000124253,,WBGene00021043,FBgn0003067,ENSMUSG00000027513,,3
ENSG00000124256,,,,ENSMUSG00000027514,,1
ENSG00000124257,,,FBgn0035059,ENSMUSG00000039873,,2
ENSG00000124275,,WBGene00006510,FBgn0038429,ENSMUSG00000034617,,3
ENSG00000124279,,WBGene00007207,FBgn0051643,ENSMUSG00000021532,,3
ENSG00000124299,AT4G29490,WBGene00019673,FBgn0000455,ENSMUSG00000063931,YFR006W,5
ENSG00000124302,,,FBgn0035287,ENSMUSG00000060402,,2
ENSG00000124313,,WBGene00019726,FBgn0026179,ENSMUSG00000041115,,3
ENSG00000124333,,,FBgn0266186,"",YLR093C,3
ENSG00000124334,,,,ENSMUSG00000020279,,1
ENSG00000124356,,,FBgn0039773,ENSMUSG00000006906,,2
ENSG00000124356;ENSG00000124356,AT1G10600,,,,,1
ENSG00000124357,,WBGene00021057,FBgn0038321,ENSMUSG00000034744,,3
ENSG00000124370,,WBGene00008415,,ENSMUSG00000033429,,2
ENSG00000124374,,,FBgn0038100,ENSMUSG00000045896,,2
ENSG00000124380,AT5G57370,WBGene00011035,FBgn0021895,ENSMUSG00000001158,,4
ENSG00000124383,,WBGene00013544,FBgn0032051,ENSMUSG00000030521,YJR002W,4
ENSG00000124391,,WBGene00009108,,ENSMUSG00000046108,,2
ENSG00000124406,,WBGene00013034,FBgn0259221,ENSMUSG00000037685,YAL026C,4
ENSG00000124422,,,FBgn0013717,ENSMUSG00000042506,YMR223W,3
ENSG00000124429,,,,ENSMUSG00000034607,,1
ENSG00000124440,,WBGene00001851,FBgn0266411,ENSMUSG00000004328,,3
ENSG00000124449,,,,ENSMUSG00000062028,,1
ENSG00000124459,,WBGene00021931,FBgn0025874,ENSMUSG00000074282,,3
ENSG00000124466,,,,ENSMUSG00000057454,,1
ENSG00000124479,,,,ENSMUSG00000040138,,1
ENSG00000124486,,,FBgn0005632,ENSMUSG00000031010,,2
ENSG00000124491,,,FBgn0031975,ENSMUSG00000039109,,2
ENSG00000124493,,WBGene00021152,FBgn0019985,ENSMUSG00000063239,,3
ENSG00000124496,,WBGene00010012,FBgn0037698,ENSMUSG00000064043,,3
ENSG00000124507,,WBGene00018467,FBgn0053094,ENSMUSG00000040276,,3
ENSG00000124508,,,,ENSMUSG00000053216,,1
ENSG00000124523,,,,ENSMUSG00000054021,,1
ENSG00000124532,,,,ENSMUSG00000021339,YPL060W,2
ENSG00000124535,,,,ENSMUSG00000021400,YNL218W,2
ENSG00000124541,AT1G12650,WBGene00020705,FBgn0038235,ENSMUSG00000023971,YOR287C,5
ENSG00000124557,,,,ENSMUSG00000000706,,1
ENSG00000124562,AT4G03120,WBGene00017238,FBgn0261792,ENSMUSG00000024217,YLR298C,5
ENSG00000124564,,WBGene00008000,FBgn0028513,ENSMUSG00000036083,,3
ENSG00000124568,,WBGene00008000,FBgn0028513,ENSMUSG00000021335,,3
ENSG00000124570,AT1G47710,WBGene00005644,FBgn0028990,ENSMUSG00000060147,,4
ENSG00000124571,,,FBgn0031051,ENSMUSG00000067150,YDR335W,3
ENSG00000124574,,WBGene00003413,FBgn0032018,ENSMUSG00000032842,YDR135C,4
ENSG00000124575,,WBGene00001855,,ENSMUSG00000052565,YPL127C,3
ENSG00000124587,AT1G03000,WBGene00004195,FBgn0033564,ENSMUSG00000002763,YNL329C,5
ENSG00000124588,,,,ENSMUSG00000046949,,1
ENSG00000124593,,,,ENSMUSG00000079444,,1
ENSG00000124596,,,FBgn0053054,ENSMUSG00000040771,,2
ENSG00000124602,,WBGene00006745,FBgn0034013,ENSMUSG00000043592,,3
ENSG00000124608,AT5G22800,WBGene00000196,FBgn0028962,ENSMUSG00000023938,YOR335C,5
ENSG00000124610,,WBGene00001855,,ENSMUSG00000049539,,2
ENSG00000124613,,,FBgn0032979,,,1
ENSG00000124614,AT4G25740,WBGene00004479,FBgn0027494,ENSMUSG00000052146,YOR293W,5
ENSG00000124615,AT2G31955,WBGene00009885,FBgn0263241,ENSMUSG00000064120,,4
ENSG00000124635,,WBGene00001915,FBgn0053868,ENSMUSG00000068854,,3
ENSG00000124641,,WBGene00007020,FBgn0013531,ENSMUSG00000092558,,3
ENSG00000124659,,WBGene00044609,FBgn0051961,ENSMUSG00000036430,,3
ENSG00000124664,,WBGene00017687,FBgn0005659,ENSMUSG00000024215,,3
ENSG00000124678,,WBGene00010875,FBgn0029820,ENSMUSG00000062859,YDR006C,4
ENSG00000124688,,,FBgn0039128,ENSMUSG00000034509,,2
ENSG00000124701,,,,ENSMUSG00000040694,,1
ENSG00000124702,AT3G07720,WBGene00009978,FBgn0030053,ENSMUSG00000063576,,4
ENSG00000124713,,,FBgn0038074,ENSMUSG00000002769,,2
ENSG00000124721,,,FBgn0037726,ENSMUSG00000033826,,2
ENSG00000124731,,,,ENSMUSG00000042265,,1
ENSG00000124733,,,FBgn0031315,ENSMUSG00000002768,,2
ENSG00000124743,,,FBgn0031119,ENSMUSG00000044938,,2
ENSG00000124762,,,,ENSMUSG00000023067,,1
ENSG00000124766,,,FBgn0005612,ENSMUSG00000076431,,2
ENSG00000124767,AT5G57040,,FBgn0283450,ENSMUSG00000024026,YML004C,4
ENSG00000124772,,WBGene00001577,,ENSMUSG00000024008,,2
ENSG00000124780,,WBGene00006696,FBgn0017561,,YJL093C,3
ENSG00000124782,,,FBgn0003053,ENSMUSG00000039087,,2
ENSG00000124783,,WBGene00022122,FBgn0028327,ENSMUSG00000021427,,3
ENSG00000124784,,WBGene00019698,FBgn0036187,ENSMUSG00000021428,YOR119C,4
ENSG00000124785,,,,ENSMUSG00000039114,,1
ENSG00000124786,,WBGene00018827,FBgn0036695,ENSMUSG00000021432,,3
ENSG00000124787,,,,ENSMUSG00000021418,,1
